unix_time_ms,sys_time_ms,robot_mode,mpc_step,ref_lat_deg,ref_lon_deg,nearest_traj_index,traj_error_x_m,traj_error_y_m,traj_error_abs_m,raw_dx_m,raw_dy_m,raw_speed_m_s,raw_vyaw_rad_s,mhe_dx_m,mhe_dy_m,mhe_speed_m_s,mhe_yaw_rad,traj_ref_yaw_rad,mpc_output_vyaw_rad_s,yaw_PWM,throttle_PWM,latitude_deg,longitude_deg,vpitch_rad_s,vroll_rad_s,pitch_rad,roll_rad,sonar_meas_m,ultrasonic meas_m,GPS_time_stamp_h_m_s_ms,yaw_cmd,throttle,enc_speed_left_m_s,enc_speed_right_m_s
1508264369532,126532,RC,0,40.1021787433,-88.2267358693,0,21.9094815831,-0.0000001334,21.9094815831,21.8886516594,12.2888185125,0.6933163404,0.1950405439,21.9094815831,12.6563376046,0.2189367153,-0.3458095384,0.0000000000,0.0000000000,1500,1000,40.1022892593,-88.2269932237,-0.1519163670,0.3084869453,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181857,0.0000000000,1.0000000000,0.6662670374,0.7203656435
1508264369733,126733,RC,0,40.1021787433,-88.2267358693,0,21.9423248217,0.0000004021,21.9423248217,21.8936274239,12.1591466957,0.6591488123,-0.0012362749,21.9423248217,12.5986694542,0.2645198399,-0.5058137334,0.0000000000,0.0000000000,1500,1000,40.1022880932,-88.2269932822,-0.1270454251,0.0464693913,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181857,0.0000000000,1.0000000000,0.6947399974,0.6235576272
1508264369933,126933,RC,0,40.1021787433,-88.2267358693,0,21.9928799883,-0.0000002515,21.9928799883,21.9158405164,12.0267320710,0.6833576560,-0.0234165008,21.9928799883,12.4825694430,0.3073437012,-0.8780809851,0.0000000000,0.0000000000,1500,1000,40.1022869023,-88.2269935433,0.2441279291,-0.2935789246,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181858,0.0000000000,1.0000000000,0.6121745706,0.7545407414
1508264370134,127134,RC,0,40.1021787433,-88.2267358693,0,22.0023357030,-0.0000001994,22.0023357030,21.9129205589,11.9013227261,0.6548908949,0.0797033692,22.0023357030,12.2513749990,0.3508195920,-1.3482082042,0.0000000000,0.0000000000,1500,1000,40.1022857745,-88.2269935090,-0.4698571790,-0.0425424005,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181858,0.0000000000,1.0000000000,0.6748223901,0.6349594593
1508264370334,127334,RC,0,40.1021787433,-88.2267358693,0,21.9379702238,0.0000004448,21.9379702238,21.9587215506,11.7818437774,0.6904828548,0.1024653715,21.9379702238,12.0204872765,0.3933935155,-1.4583267699,0.0000000000,0.0000000000,1500,1000,40.1022847000,-88.2269940475,0.0810123661,0.0138899120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181858,0.0000000000,1.0000000000,0.7346168160,0.6463488936
1508264370535,127535,RC,0,40.1021787433,-88.2267358693,0,21.9400313894,0.0000003194,21.9400313894,21.9693674928,11.6498739316,0.6833576560,0.0088720904,21.9400313894,11.8529876089,0.4326749354,-1.4460118004,0.0000000000,0.0000000000,1500,1000,40.1022835132,-88.2269941727,-0.0573776992,0.1114101839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181858,0.0000000000,1.0000000000,0.7004415989,0.6662737131
1508264370735,127735,RC,0,40.1021787433,-88.2267358693,0,21.9636442569,-0.0000001231,21.9636442569,21.9994338016,11.4991306764,0.7403041124,-0.0744673814,21.9636442569,11.6828449926,0.4775709760,-1.4402187166,0.0000000000,0.0000000000,1500,1000,40.1022821575,-88.2269945262,0.4748750006,-0.1194823317,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181858,0.0000000000,1.0000000000,0.7232201695,0.7573880553
1508264370936,127936,RC,0,40.1021787433,-88.2267358693,0,21.9860973399,-0.0000003397,21.9860973399,22.0069611461,11.3684951708,0.6618770361,0.0458148929,21.9860973399,11.5104347647,0.5190183299,-1.4467074667,0.0000000000,0.0000000000,1500,1000,40.1022809827,-88.2269946147,-0.2702351459,0.2174389360,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181859,0.0000000000,1.0000000000,0.6291390657,0.6946150661
1508264371136,128136,RC,0,40.1021787433,-88.2267358693,0,22.0127774858,0.0000003537,22.0127774858,22.0437040397,11.2495907284,0.6890522838,0.0179623469,22.0127774858,11.3408578595,0.5630965372,-1.4366537896,0.0000000000,0.0000000000,1500,1000,40.1022799133,-88.2269950467,0.2556180134,0.0302523737,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181859,0.0000000000,1.0000000000,0.7403041124,0.6378004551
1508264371337,128337,RC,0,40.1021787433,-88.2267358693,0,22.0378646613,-0.0000004479,22.0378646613,22.0533151899,11.1070017667,0.6904621124,-0.0162897397,22.0378646613,11.1719317726,0.6043777249,-1.4327040759,0.0000000000,0.0000000000,1500,1000,40.1022786310,-88.2269951597,0.0528689319,-0.2061670179,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181859,0.0000000000,1.0000000000,0.6918857694,0.6890385151
1508264371537,128537,RC,0,40.1021787433,-88.2267358693,0,22.0606615396,-0.0000002154,22.0606615396,22.0654636864,11.0031271739,0.6534607410,0.1258818723,22.0606615396,11.0151050321,0.6462598057,-1.4333579082,0.0000000000,0.0000000000,1500,1000,40.1022776968,-88.2269953025,-0.1432624428,0.1588976840,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181859,0.0000000000,1.0000000000,0.6719683409,0.6349531412
1508264371738,128738,RC,0,40.1021787433,-88.2267358693,0,22.0850169173,0.0000001819,22.0850169173,22.0938856518,10.8508642541,0.6805170774,-0.0287979327,22.0850169173,10.8621379764,0.6729912186,-1.4179488158,0.0000000000,0.0000000000,1500,1000,40.1022763275,-88.2269956367,0.0068358729,-0.0012362749,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181859,0.0000000000,1.0000000000,0.6292647719,0.7317694426
1508264371938,128938,RC,0,40.1021787433,-88.2267358693,0,22.1079211032,-0.0000003784,22.1079211032,22.1095355247,10.7162813284,0.7075669765,-0.0271980475,22.1079211032,10.7198349030,0.6867937417,-1.4191743285,0.0000000000,0.0000000000,1500,1000,40.1022751172,-88.2269958207,0.0445058959,0.0761399886,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181900,0.0000000000,1.0000000000,0.6947538853,0.7203800678
1508264372139,129139,RC,0,40.1021787433,-88.2267358693,0,22.1304370507,0.0000001259,22.1304370507,22.1325140881,10.5884998241,0.6919134259,0.0063268185,22.1304370507,10.5892306633,0.6890374457,-1.4189849568,0.0000000000,0.0000000000,1500,1000,40.1022739680,-88.2269960908,0.2127847246,0.0041451570,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181900,0.0000000000,1.0000000000,0.7175398469,0.6662870049
1508264372339,129339,RC,0,40.1021787433,-88.2267358693,0,22.1534853235,0.0000002986,22.1534853235,22.1585828946,10.4617932055,0.6762393117,-0.2415826573,22.1534853235,10.4609377986,0.6881960064,-1.4147341205,0.0000000000,0.0000000000,1500,1000,40.1022728285,-88.2269963973,-0.3635375388,-0.2281290776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181900,0.0000000000,1.0000000000,0.6406477690,0.7118308544
1508264372540,129540,RC,0,40.1021787433,-88.2267358693,0,22.1747022316,-0.0000004538,22.1747022316,22.1720497491,10.3296936331,0.6748426557,0.0711948891,22.1747022316,10.3303857080,0.6866675978,-1.4381738929,0.0000000000,0.0000000000,1500,1000,40.1022716405,-88.2269965557,-0.0421060682,0.0853756892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181900,0.0000000000,1.0000000000,0.6805375218,0.6691477895
1508264372740,129740,RC,0,40.1021787433,-88.2267358693,0,22.1984210893,0.0000002564,22.1984210893,22.2135130981,10.1874938541,0.7072913647,-0.0384699656,22.1984210893,10.1959803285,0.6872070957,-1.4255604368,0.0000000000,0.0000000000,1500,1000,40.1022703617,-88.2269970432,0.0868301303,-0.0071994832,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181900,0.0000000000,1.0000000000,0.7172532082,0.6973295212
1508264372941,129941,RC,0,40.1021787433,-88.2267358693,0,22.2228959756,0.0000003075,22.2228959756,22.2412829445,10.0701461413,0.6805034876,-0.0986838248,22.2228959756,10.0651152825,0.6857945330,-1.4258227716,0.0000000000,0.0000000000,1500,1000,40.1022693063,-88.2269973697,0.2161299390,-0.1518436449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181901,0.0000000000,1.0000000000,0.6748089194,0.6861981153
1508264373141,130141,RC,0,40.1021787433,-88.2267358693,0,22.2465566017,-0.0000000062,22.2465566017,22.2606468184,9.9127126579,0.6719548702,-0.0240709993,22.2465566017,9.9278507171,0.6866997234,-1.4331570221,0.0000000000,0.0000000000,1500,1000,40.1022678905,-88.2269975973,-0.1142463440,0.0552687596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181901,0.0000000000,1.0000000000,0.6918857694,0.6520240307
1508264373342,130342,RC,0,40.1021787433,-88.2267358693,0,22.2682333679,-0.0000000002,22.2682333679,22.2855957381,9.8060952564,0.6619828939,-0.0359246938,22.2682333679,9.7971029280,0.6896543323,-1.4338626053,0.0000000000,0.0000000000,1500,1000,40.1022669317,-88.2269978907,0.0288706547,0.1068286946,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181901,0.0000000000,1.0000000000,0.6520175338,0.6719481945
1508264373542,130542,RC,0,40.1021787433,-88.2267358693,0,22.2913569161,-0.0000004578,22.2913569161,22.3024647015,9.6720497717,0.7004275918,-0.0915570637,22.2913569161,9.6673436355,0.6877217043,-1.4323628210,0.0000000000,0.0000000000,1500,1000,40.1022657262,-88.2269980890,0.2844886681,0.0039997129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181901,0.0000000000,1.0000000000,0.7061221004,0.6947330832
1508264373743,130743,RC,0,40.1021787433,-88.2267358693,0,22.3123590203,-0.0000001459,22.3123590203,22.3188233177,9.5595019739,0.6178568602,-0.1415898356,22.3123590203,9.5417831870,0.6890780552,-1.4381265020,0.0000000000,0.0000000000,1500,1000,40.1022647140,-88.2269982813,-0.3883357586,-0.0138899120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181901,0.0000000000,1.0000000000,0.5751478672,0.6605658531
1508264373943,130943,RC,0,40.1021787433,-88.2267358693,0,22.3341125884,0.0000000428,22.3341125884,22.3426949679,9.4101857197,0.6847676039,0.0559959802,22.3341125884,9.4098177384,0.6830732826,-1.4476136082,0.0000000000,0.0000000000,1500,1000,40.1022633712,-88.2269985620,0.0565777566,0.1396263402,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181902,0.0000000000,1.0000000000,0.6263986826,0.7431365848
1508264374144,131144,RC,0,40.1021787433,-88.2267358693,0,22.3542258603,0.0000002647,22.3542258603,22.3604002355,9.3082199718,0.6705380082,-0.0543960950,22.3542258603,9.2838833595,0.6851741697,-1.4369543067,0.0000000000,0.0000000000,1500,1000,40.1022624542,-88.2269987702,-0.0807214779,-0.0207985069,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181902,0.0000000000,1.0000000000,0.6719616652,0.6691143513
1508264374344,131344,RC,0,40.1021787433,-88.2267358693,0,22.3779310833,0.0000001496,22.3779310833,22.3874046535,9.1613314733,0.6990318894,-0.1535162521,22.3779310833,9.1555081910,0.6841310393,-1.4354440737,0.0000000000,0.0000000000,1500,1000,40.1022611332,-88.2269990877,0.2564906780,-0.2100212867,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181902,0.0000000000,1.0000000000,0.6947607994,0.7033029795
1508264374545,131545,RC,0,40.1021787433,-88.2267358693,0,22.3992099317,-0.0000002233,22.3992099317,22.4046280037,9.0277122370,0.6561965942,-0.0258163285,22.3992099317,9.0248067531,0.6863937679,-1.4458480214,0.0000000000,0.0000000000,1500,1000,40.1022599315,-88.2269992902,-0.0549778714,0.0463966693,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181902,0.0000000000,1.0000000000,0.6376921535,0.6747010946
1508264374745,131745,RC,0,40.1021787433,-88.2267358693,0,22.4256978551,0.0000000200,22.4256978551,22.4540012111,8.9132741247,0.6676973701,0.1606430132,22.4256978551,8.9009180269,0.6865999948,-1.4375347169,0.0000000000,0.0000000000,1500,1000,40.1022589023,-88.2269998707,0.0332339778,0.0211621172,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181902,0.0000000000,1.0000000000,0.7346094847,0.6007852554
1508264374946,131946,RC,0,40.1021787433,-88.2267358693,0,22.4532561901,-0.0000000256,22.4532561901,22.4740029422,8.7821938388,0.6975733638,-0.0115628063,22.4532561901,8.7746448260,0.6839006278,-1.4123148720,0.0000000000,0.0000000000,1500,1000,40.1022577235,-88.2270001058,0.0071994832,0.0637045177,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181903,0.0000000000,1.0000000000,0.6691009998,0.7260457277
1508264375146,132146,RC,0,40.1021787433,-88.2267358693,0,22.4761378347,-0.0000002131,22.4761378347,22.4770650159,8.6617697332,0.6890522838,0.0208712290,22.4761378347,8.6496894612,0.6843406280,-1.4107642295,0.0000000000,0.0000000000,1500,1000,40.1022566405,-88.2270001418,0.1471167115,0.1998401994,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181903,0.0000000000,1.0000000000,0.6150218844,0.7630826831
1508264375347,132347,RC,0,40.1021787433,-88.2267358693,0,22.4995639753,0.0000003317,22.4995639753,22.5032330932,8.5104149059,0.6975733042,-0.0048723775,22.4995639753,8.5197022894,0.6859686706,-1.4058168394,0.0000000000,0.0000000000,1500,1000,40.1022552793,-88.2270004495,0.1305360836,-0.0805033117,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181903,0.0000000000,1.0000000000,0.7231984735,0.6719481945
1508264375547,132547,RC,0,40.1021787433,-88.2267358693,0,22.5238394143,-0.0000002179,22.5238394143,22.5296562832,8.3891568381,0.7132474184,-0.0607956356,22.5238394143,8.3919828143,0.6869303236,-1.4032259562,0.0000000000,0.0000000000,1500,1000,40.1022541888,-88.2270007602,0.1247910415,-0.0975929940,0.0000000000,0.0000000000,0.0000000000,0.0000000000,181903,0.0000000000,1.0000000000,0.7317548394,0.6947399974
